"id","site","orig_id","run","outdir","mean_FD","mean_relative","age","sex","handedness","eyes","orig_site"
"beijing_sub83624","Beijing A","sub83624","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub83624_/scan_func_rest",0.0510235631111,0.222616260381,20,"Female",NA,"Closed","beijing"
"beijing_sub94536","Beijing A","sub94536","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub94536_/scan_func_rest",0.0530138844444,0.285270930808,20,"Female",NA,"Closed","beijing"
"beijing_sub98617","Beijing A","sub98617","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub98617_/scan_func_rest",0.162024383556,0.119930704363,20,"Female",NA,"Closed","beijing"
"beijing_sub08816","Beijing A","sub08816","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub08816_/scan_func_rest",0.115889706222,0.251817550906,21,"Female",NA,"Closed","beijing"
"beijing_sub11344","Beijing A","sub11344","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub11344_/scan_func_rest",0.181221700889,0.300036798897,21,"Female",NA,"Closed","beijing"
"beijing_sub19642","Beijing A","sub19642","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub19642_/scan_func_rest",0.0551579497778,0.129101044279,21,"Female",NA,"Closed","beijing"
"beijing_sub21115","Beijing A","sub21115","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub21115_/scan_func_rest",0.126346137333,0.207940895613,21,"Female",NA,"Closed","beijing"
"beijing_sub22595","Beijing A","sub22595","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub22595_/scan_func_rest",0.0861428493333,0.121936969254,21,"Female",NA,"Closed","beijing"
"beijing_sub29590","Beijing A","sub29590","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub29590_/scan_func_rest",0.194905642667,0.195619010016,21,"Female",NA,"Closed","beijing"
"beijing_sub37602","Beijing A","sub37602","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub37602_/scan_func_rest",0.0626338773333,0.190976276305,21,"Female",NA,"Closed","beijing"
"beijing_sub40427","Beijing A","sub40427","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub40427_/scan_func_rest",0.0427408088889,0.0268233052738,21,"Female",NA,"Closed","beijing"
"beijing_sub54890","Beijing A","sub54890","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub54890_/scan_func_rest",0.0896741111111,0.189366862808,21,"Female",NA,"Closed","beijing"
"beijing_sub64923","Beijing A","sub64923","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub64923_/scan_func_rest",0.0471740008889,0.124275220333,21,"Female",NA,"Closed","beijing"
"beijing_sub87776","Beijing A","sub87776","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub87776_/scan_func_rest",0.0757916511111,0.156946024848,21,"Female",NA,"Closed","beijing"
"beijing_sub88947","Beijing A","sub88947","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub88947_/scan_func_rest",0.0892138631111,0.18414520337,21,"Female",NA,"Closed","beijing"
"beijing_sub07717","Beijing A","sub07717","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub07717_/scan_func_rest",0.0495894755556,0.0948119129604,22,"Female",NA,"Closed","beijing"
"beijing_sub10277","Beijing A","sub10277","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub10277_/scan_func_rest",0.115755945333,0.176578421316,22,"Female",NA,"Closed","beijing"
"beijing_sub30310","Beijing A","sub30310","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub30310_/scan_func_rest",0.0486610826667,0.0771171998673,22,"Female",NA,"Closed","beijing"
"beijing_sub34895","Beijing A","sub34895","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub34895_/scan_func_rest",0.0925129155556,0.286618001405,22,"Female",NA,"Closed","beijing"
"beijing_sub50873","Beijing A","sub50873","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub50873_/scan_func_rest",0.0582721822222,0.111402736505,22,"Female",NA,"Closed","beijing"
