"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"503",1,150,0.3,6,"degree",0.64,0.94
"504",1,150,0.3,6,"mdmr",1,0.98
"505",1,150,0.02,8,"glm",0.3075,0.9534375
"506",1,150,0.02,8,"degree",0.04,0.94
"507",1,150,0.02,8,"mdmr",0.28,0.96
"508",1,150,0.04,8,"glm",0.755,0.953229166666667
"509",1,150,0.04,8,"degree",0.12,0.98
"510",1,150,0.04,8,"mdmr",0.96,0.98
"511",1,150,0.06,8,"glm",0.985,0.953333333333333
"512",1,150,0.06,8,"degree",0.24,0.98
"513",1,150,0.06,8,"mdmr",1,0.98
"514",1,150,0.08,8,"glm",1,0.9521875
"515",1,150,0.08,8,"degree",0.28,0.96
"516",1,150,0.08,8,"mdmr",1,0.94
"517",1,150,0.1,8,"glm",1,0.9525
"518",1,150,0.1,8,"degree",0.4,0.96
"519",1,150,0.1,8,"mdmr",1,0.96
"520",1,150,0.15,8,"glm",1,0.9528125
"521",1,150,0.15,8,"degree",0.58,0.94
"522",1,150,0.15,8,"mdmr",1,0.96
"523",1,150,0.2,8,"glm",1,0.952395833333333
"524",1,150,0.2,8,"degree",0.58,0.98
"525",1,150,0.2,8,"mdmr",1,0.98
"526",1,150,0.3,8,"glm",1,0.953125
